Lab Name,UKAS Number,Address,Fake Email,Website,Discipline(s),Org Type,Postcode,OSEAST100M,OSNRTH100M,Responses
Gateshead Health NHS Foundation Trust operating as South of Tyne & Wear Clinical Pathology Services,9133,"Sheriff Hill, Gateshead, Tyne & Wear NE9 6SX, United Kingdom",pathology.gateshead@notnhs.net,http://qegateshead.nhs.uk,Histopathology,NHS,NE9 6SX,4269,5606,
Sheffield Teaching Hospitals NHS Foundation Trust,9550,"Doncaster & Bassetlaw NHS Foundation Trust, Pathology Services, Doncaster Royal Infirmary, Armthorpe Road, Doncaster DN2 5LT, United Kingdom",pathology.doncaster@notnhs.net,https://www.dbth.nhs.uk/,Histopathology,NHS,DN2 5LT,4591,4041,
Shrewsbury & Telford Hospital NHS Trust,8849,"Department of Pathology, Royal Shrewsbury Hospital, Mytton Oak Road, Shrewsbury SY3 8XQ, United Kingdom",pathology.royalshrewsbury3@notnhs.net,http://www.sath.nhs.uk/wards-services/az-services/pathology/,Histopathology,NHS,SY3 8XQ,3464,3126,
Bolton NHS Foundation Trust,9927,"Cellular Pathology and Andrology, Bolton Royal Hospital, Minerva Road, Farnworth, Bolton BL4 0JR, United Kingdom",cellularpathology.bolton@notnhs.net,https://www.boltonhospitals.nhs.uk,"Haematology, Histopathology",NHS,BL4 0JR,3716,4064,
Northern Care Alliance NHS Foundation Trust,8601,"Royal Oldham Hospital, Pathology-Biochemisrty Department, Rochdale Road, Oldham OL1 2JH, United Kingdom",biochemistry.royaloldham@notnhs.net,http://www.pat.nhs.uk,Histopathology,NHS,OL1 2JH,3920,4062,
Dorset County Hospital NHS Foundation Trust,10011,"Department of Cellular Pathology, Dorset County Hospital, Williams Avenue, Dorchester DT1 2JY, United Kingdom",cellularpathology.dorsetcounty@notnhs.net,http://www.dchft.nhs.uk,Histopathology,NHS,DT1 2JY,3685,904,
Epsom and St Helier University Hospitals NHS Trust,8626,"Histopathology, Epsom General Hospital, Dorking Road, Epsom, Surrey KT18 7EG, United Kingdom",histopathology.epsom@notnhs.net,https://www.epsom-sthelier.nhs.uk,Histopathology,NHS,KT18 7EG,5204,1599,
County Durham and Darlington NHS Foundation Trust,9717,"Cellular Pathology Department, University Hospital of North Durham, North Road, Durham, County Durham DH1 5TW, United Kingdom",cellularpathology.northdurham@notnhs.net,http://www.cddft.nhs.uk,Histopathology,NHS,DH1 5TW,4262,5438,
Great Western Hospitals NHS Foundation Trust,8810,"Department of Cellular Pathology, The Great Western Hospitals NHS Foundation Trust, The Great Western Hospital, Marlborough Road, Swindon SN3 6BB, United Kingdom",cellularpathology.greatwestern@notnhs.net,,Histopathology,NHS,SN3 6BB,4190,1822,
Cardiff and Vale University Health Board,8987,"Cellular Pathology Department, Cardiff and Vale University Health Board, University Hospital of Wales, Heath Park, Cardiff CF14 4XW, United Kingdom",cellularpathology.cardiffvale@notnhs.net,http://www.cardiffandvaleuhb.wales.nhs.uk/home,Histopathology,NHS,CF14 4XW,3175,1793,
NHS Lanarkshire,9480,"Department of Cellular Pathology, Monklands Hospital, Airdrie ML6 0JS, United Kingdom",cellularpathology.monklands@notnhs.net,http://www.nhslanarkshire.org.uk,Histopathology,NHS,ML6 0JS,2749,6654,
NHS Highland,9611,"Cellular Pathology Department, Zone 3, Raigmore Hospital, Old Perth Road, Inverness IV2 3UJ, United Kingdom",cellularpathology.raigmore@notnhs.net,,Histopathology,NHS,IV2 3UJ,2686,8447,
Great Ormond Street Hospital for Children NHS Foundation Trust,8661,"Department of Histopathology, Floor 3 Camelia Botnar Laboratories, 85 Lambs Conduit Street, Great Ormond Street, London WC1N 3NN, United Kingdom",histopathology.gosh@notnhs.net,https://www.gosh.nhs.uk/wards-and-departments/departments/laboratory-medicine/,Histopathology,NHS,WC1N 3NN,5305,1820,
North Bristol NHS Trust,8191,"Department of Neuropathology, Pathology Science Building (Phase II), Southmead Hospital, Bristol BS10 5NB, United Kingdom",neuropathology.southmead@notnhs.net,http://www.nbt.nhs.uk,Histopathology,NHS,BS10 5NB,3590,1774,
Salisbury NHS Foundation Trust,8363,"Histopathology Department, Salisbury District Hospital, Odstock Road, Salisbury SP2 8BJ, United Kingdom",histopathology.salisbury@notnhs.net,http://www.salisbury.nhs.uk,Histopathology,NHS,SP2 8BJ,4148,1271,
Moorfields Eye Hospital NHS Foundation Trust,8609,"Department of Eye Pathology, 1st Floor, Cayton Street Building, UCL Institute of Ophthalmology, 11 - 43 Bath Street, London EC1V 9EL, United Kingdom",eyepathology.ucl@notnhs.net,https://www.moorfields.nhs.uk/for-patients/eye-pathology-department,Histopathology,NHS,EC1V 9EL,5325,1826,
East Lancashire Hospitals NHS Trust,8136,"Cellular Pathology Department, Royal Blackburn Hospital, Haslingden Road, Blackburn BB2 3HH, United Kingdom",cellularpathology.royalblackburn@notnhs.net,http://www.elht.nhs.uk,Histopathology,NHS,BB2 3HH,3695,4266,
