Lab Name,UKAS Number,Address,Telephone Number,Email Address,Website,Discipline(s),Flags,Org Type,Postcode,OSEAST100M,OSNRTH100M
East Sussex Healthcare NHS Trust,8790,"Cellular Pathology, Conquest Hospital, The Ridge, St Leonards on Sea TN37 7RD, United Kingdom",+44 (0) 1424 755255 ex 8789 / +44 (0) 3001 314497,c.hendon-dunn@nhs.net,https://www.esh.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,TN37 7RD,5806,1126
The Shrewsbury & Telford Hospital NHS Trust,9038,"Department of Pathology, Royal Shrewsbury Hospital, Mytton Oak Road, Shrewsbury SY3 8XQ, United Kingdom",(+44) 01743 261000 ex3720,victoria.banton@nhs.net,http://www.sath.nhs.uk/services/pathology/default.aspx,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SY3 8XQ,3464,3126
Barts Health NHS Trust as the host of NHS East and South East London Pathology Partnership,8285,"Pathology, Barts Health NHS Trust, Pathology and Pharmacy Building, Royal London Hospital, 80 Newark Street, London E1 2ES, United Kingdom",+44 (0)20 3246 3030,heather.dolphin@nhs.net,http://www/bartshealth.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,E1 2ES,5349,1815
Cambridge University Hospitals NHS Foundation Trust,8038,"Histopathology CUHFT, Box 235, Addenbrookes Hospital, Hills Road, Cambridge CB2 0QQ, United Kingdom",+44 (0) 1223 256100,zahrah.rosun@nhs.net,https://www.cuh.nhs.uk/services/histopathology-and-cytology,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,CB2 0QQ,5464,2551
Royal United Hospitals Bath NHS Foundation Trust,9403,"Department of Pathology , Combe Park, Bath BA1 3NG, United Kingdom",+44 (0)1225 821770,wayne.vietri@nhs.net,http://www.ruh.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,BA1 3NG,3728,1659
Hampshire Hospitals NHS Foundation Trust,8082,"Pathology, Basingstoke & North Hampshire Hospital, Aldermaston Road, Basingstoke RG24 9NA, United Kingdom",+44 (0) 1256 262119,eloise.clarke@hhft.nhs.uk,http://www.hampshirehospitals.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,RG24 9NA,4621,1538
Kingston and Richmond NHS Foundation Trust,8132,"Cellular Pathology, Level 2, Esher Wing, Kingston Hospital, Galsworthy Road, Kingston upon Thames KT2 7QB, United Kingdom",+44 (0)208 934 3165,marosadel.salita@nhs.net,http://www.kingstonhospital.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,KT2 7QB,5195,1698
The Mid Yorkshire Teaching NHS Trust,9058,"Blood Science Department, Pathology, Pinderfields Hospital, Aberford Road, Wakefield WF1 4DG, United Kingdom",+44 (0) 1924 317003,enalyor1@nhs.net,http://www.midyorks.nhs.uk/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,WF1 4DG,4338,4218
Isle of Wight NHS Trust,8954,"Department of Cellular Pathology, St. Maryâ€™s Hospital, Newport, Isle of Wight PO30 5TG, United Kingdom",,helen.tasker@nhs.net,http://www.iow.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,PO30 5TG,4494,903
The Royal Wolverhampton NHS Trust operating as Black Country Pathology Services,8663,"Department of Biochemistry, Pathology Centre C37, New Cross Hospital, Wolverhampton Road, Wolverhampton WV10 0QP, United Kingdom",+44 (0)1902 07999 ext. 8247,katy.new@nhs.net,http://www.royalwolverhampton.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,WV10 0QP,3936,3002
St Georgeâ€™s University Hospitals NHS Foundation Trust,9810,"Division of Infection and Immunity, Department of Medical Microbiology, South West London Pathology, St Georgeâ€™s University Hospital, Blackshaw Road, Tooting, London SW17 0QT, United Kingdom",+44 (0) 20 8725 5176,Jokotade.alli-balogun@stgeorges.nhs.uk,https://www.swlpath.nhs.uk,"Histopathology, Microbiology",Added histopathology by rule,NHS,SW17 0QT,5269,1713
East Kent Hospitals University NHS Foundation Trust,9246,"Cellular Pathology, East Kent Hospitals University NHS Foundation Trust, William Harvey Hospital, Kennington Road, Willesborough, Ashford, Kent TN24 0LZ, United Kingdom",+44 (0)1233 616 213,naomi.rogers@nhs.net,http://www.ekhuft.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,TN24 0LZ,6040,1420
The Shrewsbury & Telford Hospital NHS Trust,8858,"Department of Pathology, Royal Shrewsbury Hospital, Mytton Oak Road, Shrewsbury SY3 8XQ, United Kingdom",+44 (0) 1743 261000 Ext 3720,victoria.banton@nhs.net,http://www.sath.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SY3 8XQ,3464,3126
Mersey and West Lancashire Teaching Hospitals NHS Trust,8908,"Pathology Directorate, Nightingale House, Whiston Hospital, Warrington Road, Prescot, Merseyside L35 5DR, United Kingdom",+44 (0) 151 430 1822,kevin.mclachlan@merseywestlancs.nhs.uk,https://www.merseywestlancs.nhs.uk/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,L35 5DR,3479,3918
Nottingham University Hospitals NHS Trust,8848,"Clinical Pathology Laboratory, Queenâ€™s Medical Campus, Nottingham NG7 2UH, United Kingdom",+44 (0) 7812276666,kathryn.saunders6@nhs.net,http://www.nuh.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,NG7 2UH,4548,3388
Sherwood Forest Hospitals NHS Foundation Trust,8705,"Cellular Pathology, Kingâ€™s Mill Hospital, Mansfield Road, Sutton in Ashfield, Nottinghamshire NG17 4JL, United Kingdom",+44 (0) 1623 622515 ext 2537,jacqueline.varley2@nhs.net,http://www.sfh-tr.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,NG17 4JL,4513,3599
University Hospitals of Derby and Burton NHS Foundation Trust operating as Derbyshire Pathology,9308,"Royal Derby Hospital, Uttoxeter Road, Derby, Derbyshire DE22 3NE, United Kingdom",+44 (0)1332 789316,,http://www.derbyhospitals.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,DE22 3NE,4328,3348
Great Ormond Street Hospital for Children NHS Foundation Trust,8634,"Department of Immunology, Pathology Department, Camelia Botnar Laboratories, London WC1N 3JH, United Kingdom",+44 (0)20 7829 8835,Kimberley.Gilmour@gosh.nhs.uk,https://www.gosh.nhs.uk/wards-and-departments/departments/laboratory-medicine/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,WC1N 3JH,5305,1820
The Royal Wolverhampton NHS Trust operating as Black Country Pathology Services,8657,"Department of Haematology, Pathology Centre C37, New Cross Hospital, Wolverhampton Road, Wolverhampton WV10 0QP, United Kingdom",+44 (0)1902 307999 ext.88247,katy.new@nhs.net,http://www.royalwolverhampton.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,WV10 0QP,3936,3002
NHS Tayside,8682,"Pathology Department, Level 6, Ninewells Hospital, Dundee DD1 9SY, United Kingdom",+44 (0)1382 632666,nicola.robson@nhs.scot,https://www.nhstayside.scot.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,DD1 9SY,3390,7303
North Bristol NHS Trust,8130,"Cellular Pathology, Southmead Hospital, Westbury on Trym, Bristol, United Kingdom",+44 (0) 117 41 49849,saima.rasib@nbt.nhs.uk,https://www.nbt.nhs.uk/severn-pathology,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,BS10 5NB,3590,1774
Aneurin Bevan University Health Board,10338,"Cellular Pathology Department, Royal Gwent Hospital, Cardiff Road, Newport NP20 2UB, United Kingdom",+44 (0)1633 234513,Gwenan.Jones2@wales.nhs.uk,http://www.wales.nhs.uk/sitesplus/866/home,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,NP20 2UB,3309,1872
The Newcastle-upon-Tyne Hospitals NHS Foundation Trust,8534,"Department of Cellular Pathology, Level 3, New Victoria Wing, Royal Victoria Infirmary, Queen Victoria Road, Newcastle upon Tyne NE1 4LP, United Kingdom",+44 (0)191 2824445,Emma.Doran3@nhs.uk,http://www.newcastlelaboratories.com,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,NE1 4LP,4244,5651
Great Ormond Street Hospital for Children NHS Foundation Trust,8675,"Department of Microbiology & Virology, Pathology Department, Camelia Botnar Laboratories, London WC1N 3JH, United Kingdom",+44 (0)20 7813 4583,James.Hatcher@gosh.nhs.uk,https://www.gosh.nhs.uk/wards-and-departments/departments/laboratory-medicine/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,WC1N 3JH,5305,1820
St Georgeâ€™s University Hospitals NHS Foundation Trust,9745,"South West London Pathology (SWLP), Protein Reference Unit and Immunology Department, Jenner Wing, St Georgeâ€™s Hospital, Blackshaw Road, Tooting, London SW17 0QT, United Kingdom",+44 (0) 20 8266 6182,Laura.Kirsopp@stgeorges.nhs.uk,http://www.swlpath.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SW17 0QT,5269,1713
Frimley Health NHS Foundation Trust,9734,"Department of Microbiology, Pathology Department, Wexham Park Hospital, Wexham, Slough SL2 4HL, United Kingdom",01276 522194 / 01276 522541 / 01276 522175,fph-tr.bspsquality@nhs.net,http://www.nhspathology.fph.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SL2 4HL,4990,1824
Frimley Health NHS Foundation Trust,9733,"Blood Science Department, Pathology Department, Wexham Park Hospital, Wexham, Slough SL2 4HL, United Kingdom",+44 (0) 1932 723042 / 01753 633098,fph-tr.bspsquality@nhs.net,http://www.nhspathology.fph.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SL2 4HL,4990,1824
Wye Valley NHS Trust,8628,"Pathology Department, Hereford County Hospital, Union Walk, Hereford HR1 2ER, United Kingdom",+44 (0) 1432 364040,james.pethick@wvt.nhs.uk,http://www.wyevalley.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,HR1 2ER,3515,2402
Wirral University Teaching Hospital NHS Foundation Trust,8836,"Cellular Pathology, Department of Cellular Pathology, Arrowe Park Hospital, Arrowe Park Road, Wirral CH49 5PE, United Kingdom",+44 (0)151 604 7025,alistair.armstrong@nhs.net,http://www.wuth.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,CH49 5PE,3271,3864
The North Bristol NHS Trust,8066,"Department of Haematology & Blood Transfusion, Pathology Sciences Building, Southmead Hospital, Westbury on Trym, Bristol BS10 5NB, United Kingdom",+44 (0) 117 4148354,halina.collingbourne@nbt.nhs.uk,http://www.nbt.nhs.uk/severnpathology,"Haematology, Histopathology",Added histopathology by rule,NHS,BS10 5NB,3590,1774
Oxford University Hospitals NHS Foundation Trust,9642,"Neuropathology and Ocular Pathology Department, Level 1, West Wing, John Radcliffe Hospital, Headley Way, Headington, Oxford OX3 9DU, United Kingdom",+44 (0)1865 231466,clara.limbaeck@ouh.nhs.uk,http://ouh.nhs.uk/services/departments/neurosciences/neuropathology,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,OX3 9DU,4539,2075
Torbay and South Devon NHS Foundation Trust,8914,"Histopathology Department, South Devon Healthcare NHS Foundation Trust, Lowes Bridge, Torquay, Devon TQ2 7AA, United Kingdom",+44 (0)1803 655261,nikki.harwood@nhs.net,http://www.sdhct.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,TQ2 7AA,2898,658
University Hospitals of Morecambe Bay NHS Foundation Trust,9639,"Royal Lancaster Infirmary, New Pathology Lab, Ashton Road, Lancaster, Lancashire LA1 4RP, United Kingdom",+44 (0)1229 491279,Stephen.mcdonald@mbht.nhs.uk,https://www.uhmb.nhs.uk/our-services/pathology,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,LA1 4RP,3477,4610
The Royal Wolverhampton NHS Trust operating as Black Country Pathology Services,8655,"Department of Microbiology, Pathology Centre C37, New Cross Hospital, Wolverhampton Road, Wolverhampton WV10 0QP, United Kingdom",+44 (0)1902 07999 ext. 8247,katy.new@nhs.net,https://https//www.royalwolverhampton.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,WV10 0QP,3936,3002
Royal Wolverhampton NHS Trust operating as Black Country Pathology Services,8407,"City Hospital, Dudley Road, Birmingham B18 7QH, United Kingdom",+44 (0)121 507 4227 Ext 4363,katy.new@nhs.net,,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,B18 7QH,4046,2878
Integrated Pathology Solutions LLP,9033,"Airedale NHS Foundation Trust, Skipton Road, Steeton, West Yorkshire BD20 6TD, United Kingdom",+44 (0) 1535 293447,Jayne.Buckley4@nhs.net,http://www.airedale-trust.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,BD20 6TD,4025,4446
Norfolk and Norwich University Hospital NHS Foundation Trust trading as Eastern Pathology Alliance,10295,"Norfolk and Norwich University Hospital, Colney Lane, Norwich NR4 7UY, United Kingdom",+44 (0)1603 286900,Fiona.Butcher@nnuh.nhs.uk,,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,NR4 7UY,6181,3070
University Hospitals Plymouth NHS Trust,9881,"Cellular and Anatomical Pathology, University Hospitals Plymouth NHS Trust, Derriford Hospital, Plymouth PL6 8DH, United Kingdom",+44 (0)1752430097,lee.tuddenham1@nhs.net,http://www.plymouthhospitals.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,PL6 8DH,2499,595
Gateshead Health NHS Foundation Trust operating as South of Tyne & Wear Clinical Pathology Services,9133,"Sheriff Hill, Gateshead, Tyne & Wear NE9 6SX, United Kingdom",+44 (0)191 445 8152,tracey.chrystal1@nhs.net,http://qegateshead.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,NE9 6SX,4269,5606
University Hospital Southampton NHS Foundation Trust,8403,"Department of Microbiology, Level B, Pathology Block, Southampton General Hospital, Tremona Road, Southampton SO16 6YD, United Kingdom",+44 (0)23 8120 6408,Diane.Matley@uhs.nhs.uk,,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SO16 6YD,4397,1149
Sheffield Teaching Hospitals NHS Foundation Trust,9550,"Doncaster & Bassetlaw NHS Foundation Trust, Pathology Services, Doncaster Royal Infirmary, Armthorpe Road, Doncaster DN2 5LT, United Kingdom",+44 (0)1302 644749 Extn. 644749,andrew.wood24@nhs.net,https://www.dbth.nhs.uk/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,DN2 5LT,4591,4041
Shrewsbury & Telford Hospital NHS Trust,8849,"Department of Pathology, Royal Shrewsbury Hospital, Mytton Oak Road, Shrewsbury SY3 8XQ, United Kingdom",+44 (0) 1743 261000 ex3720,victoria.banton@nhs.net,http://www.sath.nhs.uk/wards-services/az-services/pathology/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SY3 8XQ,3464,3126
Bolton NHS Foundation Trust,9927,"Cellular Pathology and Andrology, Bolton Royal Hospital, Minerva Road, Farnworth, Bolton BL4 0JR, United Kingdom",+44 (0)1204 390 390,lewis.hurley@boltonft.nhs.uk,https://www.boltonhospitals.nhs.uk,"Haematology, Histopathology",Added histopathology by rule,NHS,BL4 0JR,3716,4064
Northern Care Alliance NHS Foundation Trust,8601,"Royal Oldham Hospital, Pathology-Biochemisrty Department, Rochdale Road, Oldham OL1 2JH, United Kingdom",+44 (0) 161 656 1679,michelle.hurst@pat.nhs.uk,http://www.pat.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,OL1 2JH,3920,4062
Dorset County Hospital NHS Foundation Trust,10011,"Department of Cellular Pathology, Dorset County Hospital, Williams Avenue, Dorchester DT1 2JY, United Kingdom",+44 (0)1305 254326,max.deighton@dchft.nhs.uk,http://www.dchft.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,DT1 2JY,3685,904
Epsom and St Helier University Hospitals NHS Trust,8626,"Histopathology, Epsom General Hospital, Dorking Road, Epsom, Surrey KT18 7EG, United Kingdom",+44 (0) 208 296 2144,Michelle.Santos@nhs.net,https://www.epsom-sthelier.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,KT18 7EG,5204,1599
County Durham and Darlington NHS Foundation Trust,9717,"Cellular Pathology Department, University Hospital of North Durham, North Road, Durham, County Durham DH1 5TW, United Kingdom",+44 (0) 191 333 2116,rebecca.sedman@nhs.net,http://www.cddft.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,DH1 5TW,4262,5438
Great Western Hospitals NHS Foundation Trust,8810,"Department of Cellular Pathology, The Great Western Hospitals NHS Foundation Trust, The Great Western Hospital, Marlborough Road, Swindon SN3 6BB, United Kingdom",+44 (0) 1793 604277,Matthew.long@nhs.net,,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SN3 6BB,4190,1822
Cardiff and Vale University Health Board,8987,"Cellular Pathology Department, Cardiff and Vale University Health Board, University Hospital of Wales, Heath Park, Cardiff CF14 4XW, United Kingdom",+44(0)2920744277,Scott.gable@wales.nhs.uk,http://www.cardiffandvaleuhb.wales.nhs.uk/home,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,CF14 4XW,3175,1793
NHS Lanarkshire,9480,"Department of Cellular Pathology, Monklands Hospital, Airdrie ML6 0JS, United Kingdom",+44 (0)1236 712091,Michelle.semple@lanarkshire.scot.nhs.uk,http://www.nhslanarkshire.org.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,ML6 0JS,2749,6654
NHS Highland,9611,"Cellular Pathology Department, Zone 3, Raigmore Hospital, Old Perth Road, Inverness IV2 3UJ, United Kingdom",+44 (0) 1463 704265,joanne.brook1@nhs.scot,,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,IV2 3UJ,2686,8447
Great Ormond Street Hospital for Children NHS Foundation Trust,8661,"Department of Histopathology, Floor 3 Camelia Botnar Laboratories, 85 Lambs Conduit Street, Great Ormond Street, London WC1N 3NN, United Kingdom",+44 (0)2078298663,gos-tr.histopathology@nhs.net,https://www.gosh.nhs.uk/wards-and-departments/departments/laboratory-medicine/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,WC1N 3NN,5305,1820
North Bristol NHS Trust,8191,"Department of Neuropathology, Pathology Science Building (Phase II), Southmead Hospital, Bristol BS10 5NB, United Kingdom",+44 (0)117 414 2401,elizabeth.miller@nbt.nhs.uk,http://www.nbt.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,BS10 5NB,3590,1774
Salisbury NHS Foundation Trust,8363,"Histopathology Department, Salisbury District Hospital, Odstock Road, Salisbury SP2 8BJ, United Kingdom",+44 (0) 1722 336262 Ext. 2251,jenny.baillie@nhs.net,http://www.salisbury.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,SP2 8BJ,4148,1271
Moorfields Eye Hospital NHS Foundation Trust,8609,"Department of Eye Pathology, 1st Floor, Cayton Street Building, UCL Institute of Ophthalmology, 11 - 43 Bath Street, London EC1V 9EL, United Kingdom",+44 (0) 786 078 3526,david.essex2@nhs.net,https://www.moorfields.nhs.uk/for-patients/eye-pathology-department,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,EC1V 9EL,5325,1826
East Lancashire Hospitals NHS Trust,8136,"Cellular Pathology Department, Royal Blackburn Hospital, Haslingden Road, Blackburn BB2 3HH, United Kingdom",+44 (0) 1254 732488,tina.cuthbertson@elht.nhs.uk,http://www.elht.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,BB2 3HH,3695,4266
